sku_id,sku_name,brand,manufacturer,category_level_1,category_level_2,category_level_3,sku_description,size_variant,unit_measure,mrp,selling_price,price_band,availability_status,rating,review_count,launch_date,discount_percent,ad_visibility_flag,high_intent_flag,avg_weekly_sales_units,avg_weekly_revenue,inventory_turnover_days,supplier_region,last_updated
SKU000000,Tata Accessories 1kg,Tata,Tata Pvt Ltd,Pet Care,Accessories,Accessories,Tata Accessories product - high quality and customer favorite.,200ml,ml,223.74,202.88,Medium,Seasonal,3.0,4705,2024-04-09,9.32,True,False,2153,96699.8,23.58,Maharashtra,2025-11-08
SKU000001,Nestle Accessories Pack of 12,Nestle,Nestle Pvt Ltd,Fashion & Merchandise,Accessories,Accessories,Nestle Accessories product - high quality and customer favorite.,Pack of 12,g,863.68,818.52,Medium,Seasonal,3.7,1598,2024-05-21,5.23,False,False,4013,57691.36,16.21,Telangana,2025-11-08
SKU000002,Godrej Dog Food Pack of 6,Godrej,Godrej Pvt Ltd,Pet Care,Dog Food,Dog Food,Godrej Dog Food product - high quality and customer favorite.,1kg,L,82.59,70.63,High,Out of Stock,4.7,3945,2024-06-25,14.48,True,True,1086,66445.02,14.33,Tamil Nadu,2025-11-08
SKU000003,Himalaya Accessories 200ml,Himalaya,Himalaya Pvt Ltd,Fashion & Merchandise,Accessories,Accessories,Himalaya Accessories product - high quality and customer favorite.,500ml,L,1468.7,1418.28,Medium,In Stock,3.0,1650,2024-03-18,3.43,True,False,2783,84401.61,14.71,Karnataka,2025-11-08
SKU000004,Colgate Gifting 500g,Colgate,Colgate Pvt Ltd,Seasonal & Festive,Gifting,Gifting,Colgate Gifting product - high quality and customer favorite.,100g,ml,1410.56,1175.47,Low,In Stock,4.9,3880,2023-01-07,16.67,False,False,4098,30033.65,4.88,Karnataka,2025-11-08
SKU000005,Surf Excel Accessories 500g,Surf Excel,Surf Excel Pvt Ltd,Pet Care,Accessories,Accessories,Surf Excel Accessories product - high quality and customer favorite.,1L,L,788.54,782.52,High,Seasonal,4.7,1691,2024-01-26,0.76,False,True,2740,11021.56,14.07,West Bengal,2025-11-08
SKU000006,Pampers Utensils Pack of 6,Pampers,Pampers Pvt Ltd,Home & Cleaning,Utensils,Utensils,Pampers Utensils product - high quality and customer favorite.,200ml,g,41.88,38.3,Low,In Stock,4.8,297,2024-07-01,8.55,False,True,1447,17025.74,29.18,Delhi,2025-11-08
SKU000007,Zepto Hoodies 1L,Zepto,Zepto Pvt Ltd,Fashion & Merchandise,Hoodies,Hoodies,Zepto Hoodies product - high quality and customer favorite.,250g,g,476.02,475.22,Low,Seasonal,3.8,1039,2023-11-22,0.17,True,True,3350,54099.83,19.05,West Bengal,2025-11-08
SKU000008,Pampers Home Decor 500ml,Pampers,Pampers Pvt Ltd,Seasonal & Festive,Home Decor,Home Decor,Pampers Home Decor product - high quality and customer favorite.,500ml,Pack,1076.64,999.17,High,In Stock,4.5,3939,2023-10-13,7.2,True,True,2554,63736.51,16.03,Rajasthan,2025-11-08
SKU000009,Nivea Dog Food 500g,Nivea,Nivea Pvt Ltd,Pet Care,Dog Food,Dog Food,Nivea Dog Food product - high quality and customer favorite.,1L,ml,654.72,568.71,Low,In Stock,4.1,3195,2023-10-17,13.14,True,True,1656,22503.45,4.47,Karnataka,2025-11-08
